,season,round,circuit_id,raceName,url,LAT,LONG,locality,country,date,time
0,1950,1,silverstone,British Grand Prix,http://en.wikipedia.org/wiki/1950_British_Grand_Prix,52.0786,-1.01694,Silverstone,UK,1950-05-13,
1,1950,2,monaco,Monaco Grand Prix,http://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix,43.7347,7.42056,Monte-Carlo,Monaco,1950-05-21,
2,1950,3,indianapolis,Indianapolis 500,http://en.wikipedia.org/wiki/1950_Indianapolis_500,39.795,-86.2347,Indianapolis,USA,1950-05-30,
3,1950,4,bremgarten,Swiss Grand Prix,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix,46.9589,7.40194,Bern,Switzerland,1950-06-04,
4,1950,5,spa,Belgian Grand Prix,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix,50.4372,5.97139,Spa,Belgium,1950-06-18,
5,1950,6,reims,French Grand Prix,http://en.wikipedia.org/wiki/1950_French_Grand_Prix,49.2542,3.93083,Reims,France,1950-07-02,
6,1950,7,monza,Italian Grand Prix,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix,45.6156,9.28111,Monza,Italy,1950-09-03,
7,1951,1,bremgarten,Swiss Grand Prix,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix,46.9589,7.40194,Bern,Switzerland,1951-05-27,
8,1951,2,indianapolis,Indianapolis 500,http://en.wikipedia.org/wiki/1951_Indianapolis_500,39.795,-86.2347,Indianapolis,USA,1951-05-30,
9,1951,3,spa,Belgian Grand Prix,http://en.wikipedia.org/wiki/1951_Belgian_Grand_Prix,50.4372,5.97139,Spa,Belgium,1951-06-17,
10,1951,4,reims,French Grand Prix,http://en.wikipedia.org/wiki/1951_French_Grand_Prix,49.2542,3.93083,Reims,France,1951-07-01,
11,1951,5,silverstone,British Grand Prix,http://en.wikipedia.org/wiki/1951_British_Grand_Prix,52.0786,-1.01694,Silverstone,UK,1951-07-14,
12,1951,6,nurburgring,German Grand Prix,http://en.wikipedia.org/wiki/1951_German_Grand_Prix,50.3356,6.9475,Nürburg,Germany,1951-07-29,
13,1951,7,monza,Italian Grand Prix,http://en.wikipedia.org/wiki/1951_Italian_Grand_Prix,45.6156,9.28111,Monza,Italy,1951-09-16,
14,1951,8,pedralbes,Spanish Grand Prix,http://en.wikipedia.org/wiki/1951_Spanish_Grand_Prix,41.3903,2.11667,Barcelona,Spain,1951-10-28,
15,1952,1,bremgarten,Swiss Grand Prix,http://en.wikipedia.org/wiki/1952_Swiss_Grand_Prix,46.9589,7.40194,Bern,Switzerland,1952-05-18,
16,1952,2,indianapolis,Indianapolis 500,http://en.wikipedia.org/wiki/1952_Indianapolis_500,39.795,-86.2347,Indianapolis,USA,1952-05-30,
17,1952,3,spa,Belgian Grand Prix,http://en.wikipedia.org/wiki/1952_Belgian_Grand_Prix,50.4372,5.97139,Spa,Belgium,1952-06-22,
18,1952,4,essarts,French Grand Prix,http://en.wikipedia.org/wiki/1952_French_Grand_Prix,49.3306,1.00458,Rouen,France,1952-07-06,
19,1952,5,silverstone,British Grand Prix,http://en.wikipedia.org/wiki/1952_British_Grand_Prix,52.0786,-1.01694,Silverstone,UK,1952-07-19,
20,1952,6,nurburgring,German Grand Prix,http://en.wikipedia.org/wiki/1952_German_Grand_Prix,50.3356,6.9475,Nürburg,Germany,1952-08-03,
21,1952,7,zandvoort,Dutch Grand Prix,http://en.wikipedia.org/wiki/1952_Dutch_Grand_Prix,52.3888,4.54092,Zandvoort,Netherlands,1952-08-17,
22,1952,8,monza,Italian Grand Prix,http://en.wikipedia.org/wiki/1952_Italian_Grand_Prix,45.6156,9.28111,Monza,Italy,1952-09-07,
23,1953,1,galvez,Argentine Grand Prix,http://en.wikipedia.org/wiki/1953_Argentine_Grand_Prix,-34.6943,-58.4593,Buenos Aires,Argentina,1953-01-18,
24,1953,2,indianapolis,Indianapolis 500,http://en.wikipedia.org/wiki/1953_Indianapolis_500,39.795,-86.2347,Indianapolis,USA,1953-05-30,
25,1953,3,zandvoort,Dutch Grand Prix,http://en.wikipedia.org/wiki/1953_Dutch_Grand_Prix,52.3888,4.54092,Zandvoort,Netherlands,1953-06-07,
26,1953,4,spa,Belgian Grand Prix,http://en.wikipedia.org/wiki/1953_Belgian_Grand_Prix,50.4372,5.97139,Spa,Belgium,1953-06-21,
27,1953,5,reims,French Grand Prix,http://en.wikipedia.org/wiki/1953_French_Grand_Prix,49.2542,3.93083,Reims,France,1953-07-05,
28,1953,6,silverstone,British Grand Prix,http://en.wikipedia.org/wiki/1953_British_Grand_Prix,52.0786,-1.01694,Silverstone,UK,1953-07-18,
29,1953,7,nurburgring,German Grand Prix,http://en.wikipedia.org/wiki/1953_German_Grand_Prix,50.3356,6.9475,Nürburg,Germany,1953-08-02,
30,1953,8,bremgarten,Swiss Grand Prix,http://en.wikipedia.org/wiki/1953_Swiss_Grand_Prix,46.9589,7.40194,Bern,Switzerland,1953-08-23,
31,1953,9,monza,Italian Grand Prix,http://en.wikipedia.org/wiki/1953_Italian_Grand_Prix,45.6156,9.28111,Monza,Italy,1953-09-13,
32,1954,1,galvez,Argentine Grand Prix,http://en.wikipedia.org/wiki/1954_Argentine_Grand_Prix,-34.6943,-58.4593,Buenos Aires,Argentina,1954-01-17,
33,1954,2,indianapolis,Indianapolis 500,http://en.wikipedia.org/wiki/1954_Indianapolis_500,39.795,-86.2347,Indianapolis,USA,1954-05-31,
34,1954,3,spa,Belgian Grand Prix,http://en.wikipedia.org/wiki/1954_Belgian_Grand_Prix,50.4372,5.97139,Spa,Belgium,1954-06-20,
35,1954,4,reims,French Grand Prix,http://en.wikipedia.org/wiki/1954_French_Grand_Prix,49.2542,3.93083,Reims,France,1954-07-04,
36,1954,5,silverstone,British Grand Prix,http://en.wikipedia.org/wiki/1954_British_Grand_Prix,52.0786,-1.01694,Silverstone,UK,1954-07-17,
37,1954,6,nurburgring,German Grand Prix,http://en.wikipedia.org/wiki/1954_German_Grand_Prix,50.3356,6.9475,Nürburg,Germany,1954-08-01,
38,1954,7,bremgarten,Swiss Grand Prix,http://en.wikipedia.org/wiki/1954_Swiss_Grand_Prix,46.9589,7.40194,Bern,Switzerland,1954-08-22,
39,1954,8,monza,Italian Grand Prix,http://en.wikipedia.org/wiki/1954_Italian_Grand_Prix,45.6156,9.28111,Monza,Italy,1954-09-05,
40,1954,9,pedralbes,Spanish Grand Prix,http://en.wikipedia.org/wiki/1954_Spanish_Grand_Prix,41.3903,2.11667,Barcelona,Spain,1954-10-24,
41,1955,1,galvez,Argentine Grand Prix,http://en.wikipedia.org/wiki/1955_Argentine_Grand_Prix,-34.6943,-58.4593,Buenos Aires,Argentina,1955-01-16,
42,1955,2,monaco,Monaco Grand Prix,http://en.wikipedia.org/wiki/1955_Monaco_Grand_Prix,43.7347,7.42056,Monte-Carlo,Monaco,1955-05-22,
