,season,Round,date,circuit_id,driver,DATE_of_birth,nationality,constructor,GriD,tIME,Status,points,podium
0,1950,1,1950-05-13,silverstone,farina,1906-10-30,Italian,alfa,1,8003600.0,Finished,9,1
1,1950,1,1950-05-13,silverstone,fagioli,1898-06-09,Italian,alfa,2,8006200.0,Finished,6,2
2,1950,1,1950-05-13,silverstone,reg_parnell,1911-07-02,British,alfa,4,8055600.0,Finished,4,3
3,1950,1,1950-05-13,silverstone,cabantous,1904-10-08,French,lago,6,,+2 Laps,3,4
4,1950,1,1950-05-13,silverstone,rosier,1905-11-05,French,lago,9,,+2 Laps,2,5
5,1950,1,1950-05-13,silverstone,gerard,1914-01-19,British,era,13,,+3 Laps,0,6
6,1950,1,1950-05-13,silverstone,harrison,1906-07-06,British,era,15,,+3 Laps,0,7
7,1950,1,1950-05-13,silverstone,etancelin,1896-12-28,French,lago,14,,+5 Laps,0,8
8,1950,1,1950-05-13,silverstone,hampshire,1917-12-29,British,maserati,16,,+6 Laps,0,9
9,1950,1,1950-05-13,silverstone,fry,1915-10-26,British,maserati,20,,+6 Laps,0,10
10,1950,1,1950-05-13,silverstone,shawe_taylor,1915-01-28,British,maserati,20,,+6 Laps,0,10
11,1950,1,1950-05-13,silverstone,claes,1916-08-11,Belgian,lago,21,,+6 Laps,0,11
12,1950,1,1950-05-13,silverstone,fangio,1911-06-24,Argentine,alfa,3,,Oil leak,0,12
13,1950,1,1950-05-13,silverstone,kelly,1913-03-13,Irish,alta,19,,Not classified,0,13
14,1950,1,1950-05-13,silverstone,bira,1914-07-15,Thai,maserati,5,,Out of fuel,0,14
15,1950,1,1950-05-13,silverstone,murray,1909-12-28,British,maserati,18,,Engine,0,15
16,1950,1,1950-05-13,silverstone,crossley,1921-05-11,British,alta,17,,Transmission,0,16
17,1950,1,1950-05-13,silverstone,graffenried,1914-05-18,Swiss,maserati,8,,Engine,0,17
18,1950,1,1950-05-13,silverstone,chiron,1899-08-03,Monegasque,maserati,11,,Clutch,0,18
19,1950,1,1950-05-13,silverstone,martin,1915-03-24,French,lago,7,,Oil pressure,0,19
20,1950,1,1950-05-13,silverstone,peter_walker,1912-10-07,British,era,10,,Gearbox,0,20
21,1950,1,1950-05-13,silverstone,rolt,1918-10-16,British,era,10,,Gearbox,0,20
22,1950,1,1950-05-13,silverstone,leslie_johnson,1912-03-22,British,era,12,,Supercharger,0,21
23,1950,2,1950-05-21,monaco,fangio,1911-06-24,Argentine,alfa,1,11598700.0,Finished,9,1
24,1950,2,1950-05-21,monaco,ascari,1918-07-13,Italian,ferrari,7,,+1 Lap,6,2
25,1950,2,1950-05-21,monaco,chiron,1899-08-03,Monegasque,maserati,8,,+2 Laps,4,3
26,1950,2,1950-05-21,monaco,sommer,1906-08-31,French,ferrari,9,,+3 Laps,3,4
27,1950,2,1950-05-21,monaco,bira,1914-07-15,Thai,maserati,15,,+5 Laps,2,5
28,1950,2,1950-05-21,monaco,gerard,1914-01-19,British,era,16,,+6 Laps,0,6
29,1950,2,1950-05-21,monaco,claes,1916-08-11,Belgian,lago,19,,+6 Laps,0,7
30,1950,2,1950-05-21,monaco,villoresi,1909-05-16,Italian,ferrari,6,,Axle,0,8
31,1950,2,1950-05-21,monaco,etancelin,1896-12-28,French,lago,4,,Oil leak,0,9
32,1950,2,1950-05-21,monaco,gonzalez,1922-10-05,Argentine,maserati,3,,Accident,0,10
33,1950,2,1950-05-21,monaco,farina,1906-10-30,Italian,alfa,2,,Accident,0,11
34,1950,2,1950-05-21,monaco,fagioli,1898-06-09,Italian,alfa,5,,Accident,0,12
35,1950,2,1950-05-21,monaco,rosier,1905-11-05,French,lago,10,,Accident,0,13
36,1950,2,1950-05-21,monaco,manzon,1917-04-12,French,simca,11,,Accident,0,14
37,1950,2,1950-05-21,monaco,graffenried,1914-05-18,Swiss,maserati,12,,Accident,0,15
38,1950,2,1950-05-21,monaco,trintignant,1917-10-30,French,simca,13,,Accident,0,16
39,1950,2,1950-05-21,monaco,harrison,1906-07-06,British,era,14,,Accident,0,17
40,1950,2,1950-05-21,monaco,rol,1908-06-05,Italian,maserati,17,,Accident,0,18
41,1950,2,1950-05-21,monaco,schell,1921-06-29,American,cooper,20,,Collision,0,19
42,1950,2,1950-05-21,monaco,whitehead,1914-11-12,British,ferrari,21,,Engine,0,20
43,1950,2,1950-05-21,monaco,pian,1912-10-21,Argentine,maserati,18,,Accident,0,21
44,1950,3,1950-05-30,indianapolis,parsons,1918-07-04,American,kurtis_kraft,5,10015970.0,Finished,9,1
45,1950,3,1950-05-30,indianapolis,holland,1907-12-18,American,deidt,10,,+1 Lap,6,2
46,1950,3,1950-05-30,indianapolis,rose,1906-05-26,American,deidt,3,,+1 Lap,4,3
47,1950,3,1950-05-30,indianapolis,green,1919-09-30,American,kurtis_kraft,12,,+1 Lap,3,4
48,1950,3,1950-05-30,indianapolis,bettenhausen,1916-09-12,American,kurtis_kraft,9,,+2 Laps,1,5
49,1950,3,1950-05-30,indianapolis,chitwood,1912-04-14,American,kurtis_kraft,9,,+2 Laps,1,5
50,1950,3,1950-05-30,indianapolis,wallard,1910-09-07,American,moore,23,,+2 Laps,0,6
51,1950,3,1950-05-30,indianapolis,faulkner,1920-02-16,American,kurtis_kraft,1,,+3 Laps,0,7
52,1950,3,1950-05-30,indianapolis,george_connor,1906-08-16,American,lesovsky,4,,+3 Laps,0,8
53,1950,3,1950-05-30,indianapolis,paul_russo,1914-04-10,American,nichels,19,,+3 Laps,0,9
54,1950,3,1950-05-30,indianapolis,flaherty,1926-01-06,American,kurtis_kraft,11,,+3 Laps,0,10
55,1950,3,1950-05-30,indianapolis,fohr,1912-06-17,American,marchese,16,,+5 Laps,0,11
56,1950,3,1950-05-30,indianapolis,darter,1913-05-05,American,stevens,13,,+5 Laps,0,12
57,1950,3,1950-05-30,indianapolis,hellings,1915-09-14,American,kurtis_kraft,26,,+6 Laps,0,13
58,1950,3,1950-05-30,indianapolis,mcgrath,1919-10-08,American,kurtis_kraft,6,,Spun off,0,14
59,1950,3,1950-05-30,indianapolis,ruttman,1930-03-11,American,lesovsky,24,,+8 Laps,0,15
60,1950,3,1950-05-30,indianapolis,hartley,1926-01-28,American,langley,31,,+10 Laps,0,16
61,1950,3,1950-05-30,indianapolis,davies,1929-08-08,American,ewing,27,,+10 Laps,0,17
62,1950,3,1950-05-30,indianapolis,mcdowell,1915-01-29,American,kurtis_kraft,33,,+10 Laps,0,18
63,1950,3,1950-05-30,indianapolis,walt_brown,1911-12-30,American,kurtis_kraft,20,,+11 Laps,0,19
64,1950,3,1950-05-30,indianapolis,webb,1910-10-08,American,maserati,14,,+12 Laps,0,20
65,1950,3,1950-05-30,indianapolis,hoyt,1929-01-29,American,kurtis_kraft,15,,+13 Laps,0,21
66,1950,3,1950-05-30,indianapolis,ader,1913-12-15,American,rae,29,,+15 Laps,0,22
