,Nr. Crt.,Nume,Cod A.N.M.C.S.,Judet,Clasificare,TIP USP (in functie de specificul patologiei tratate),TIP USP (in functie de regimul proprietatii),TIP USP (din punct de vedere al invatamantului si al cercetarii stiintifice medicale),Adresa completa a sediului principal,Adresa email oficiala,Website,Autoritatea tutelara,Acreditare ciclul I,Acreditare ciclul II,,__1,__2
0,1,SPITALUL MUNICIPAL CALAFAT,A001,Dolj,IV,general,public,fara invatamant,"B-dul. T. Vladimirescu, Nr. 24, Calafat, cod 205200, Dolj, Romania",spitalcalafat@gmail.com,spitalcalafat.ro,PRIMARIA MUNICIPIULUI CALAFAT,Acreditat,Categoria V Decizie de prelungire a procesului de acreditare,,,
1,2,SPITALUL DE PSIHIATRIE CRONICI SCHITU GRECI,A002,Olt,V,afectiuni cronice,public,fara invatamant,SLATINA STR. A. I. CUZA NR. 14,spitalulschitu@gmail.com,www.spitalul-schitu.ro,CONSILIUL JUDETEAN OLT,Acreditat,Categoria V Decizie de prelungire a procesului de acreditare,,,
2,3,SPITALUL CLINIC NICOLAE MALAXA,A003,Bucuresti,III,general,public,clinic cu sectii universitare,"STR. DIMITRIE CANTEMIR, NR.1, PARTER, SECT.4, BUCUREsTI",secretariat@spitalmalaxa.ro,www.spitalmalaxa.ro,ASSMB,Acreditat,Categoria IV Acreditat cu incredere redusa,,,
3,4,"SPITALUL MILITAR DE URGENTA ""REGINA MARIA"" BRA?OV",A004,Brasov,III,urgenta,public,fara invatamant,"Bucuresti, Str. Institutul Medico-Militar, Nr. 3 - 5, Sector 1, Cod postal 010919",smureginamaria@rdsbv.ro,www.smubrasov.ro,DIRECtIA MEDICALa a Ministerului Apararii Nationale,Acreditat,Categoria II Acreditat cu recomandari,,,
4,5,SPITALUL ORASENESC INEU,A005,Arad,IV,general,public,fara invatamant,"Calea Republicii, nr. 5",spitalineu@yahoo.ro,http://www.spitalineu.ro,Primaria Orasului Ineu,Acreditat,Categoria V Decizie de prelungire a procesului de acreditare,,,
5,6,SPITALUL ORASENESC BECLEAN,A006,Bistrita-Nasaud,IV,general,public,fara invatamant,"Aleea Trandafirilor , nr. 2, Beclean, Bistrita-Nasaud,",administrativ@spitalbeclean.ro,www.spitalbeclean.ro,Consiliul local / Primaria Oras Beclean,Acreditat,Categoria III Acreditat cu rezerve,,,
6,7,"SPITALUL CLINIC DE URGENTA ""PROF.DR.N.OBLU"" IASI",A007,Iasi,II M,urgenta,public,clinic cu sectii universitare,"IASI, B-DUL STEFAN CEL MARE SI SFANT NR.69",neuroiasi@neuroiasi.ro,www.neuroiasi.ro,CONSILIUL JUDETEAN IASI,Acreditat,Unitate aflata in proces de acreditare,,,
7,8,SPITALUL JUDETEAN DE URGENTA DEVA,A008,Hunedoara,III,urgenta,public,fara invatamant,Str. 1 Decembrie 1918 Nr.28;,spjudeva1@gmail.com,spitaldeva.ro,Consiliul Judetean Hunedoara,Acreditat,Unitate aflata in proces de acreditare,,,
8,9,S.C. COMPLEX BALNEAR SI DE RECUPERARE C.A.A. S.R.L.,A009,Constanta,V,specialitate,privat,fara invatamant,"Techirghiol, str. Dr. Victor Climescu, nr 40A",administrativ@balnear-corporesano.ro,www.balnear-corporesano.ro,Complex Balnear si de Recuperare C.A.A. S.R.L.,Acreditat,Categoria II Acreditat cu recomandari,,,
9,10,SPITAL CLINIC JUDETEAN DE URGENTA BRA?OV,A010,Brasov,II,urgenta,public,clinic cu sectii universitare,"Bd. Eroilor nr.5 cod 500007 Brasov, jud. Brasov",sjbrasov@rdslink.ro,www.hospbv.ro,CONSILIUL JUDETEAN BRASOV,Acreditat,Unitate aflata in proces de acreditare,,,
10,11,"SPITALUL DE RECUPERARE ""SF. GHEORGHE"" BOTOSANI",A011,Botosani,V,specialitate,public,fara invatamant,"Botosani,str. Piata Revolutiei, nr.1, cod 710236",secretariat@spitalbt-sfgheorghe.ro,www.spitalbt-sfgheorghe.ro,Consiliul local al Municipiului Botosani,Acreditat,Categoria II Acreditat cu recomandari,,,
11,12,SPITALUL DE PNEUMOFTIZIOLOGIE TUDOR VLADIMIRESCU,A012,Gorj,V,specialitate,public,fara invatamant,"Tg Jiu, Strada Victoriei, nr. 4, Gorj",office.spitaltv@gmail.com,www.spitaltv.ro,Consiliul Judetean Gorj,Acreditat,Categoria II Acreditat cu recomandari,,,
